Starting Training Loop...
1000
[115/1000][0/3]	Loss_D: 0.0958	Loss_G: 6.8193	D(x): 0.9446	D(G(z)): 0.0348 / 0.0028
[116/1000][0/3]	Loss_D: 0.0751	Loss_G: 7.2842	D(x): 0.9681	D(G(z)): 0.0387 / 0.0029
[117/1000][0/3]	Loss_D: 0.1520	Loss_G: 8.5938	D(x): 0.9611	D(G(z)): 0.0982 / 0.0008
[118/1000][0/3]	Loss_D: 0.1748	Loss_G: 9.8290	D(x): 0.9802	D(G(z)): 0.1273 / 0.0003
[119/1000][0/3]	Loss_D: 0.0919	Loss_G: 6.7072	D(x): 0.9853	D(G(z)): 0.0693 / 0.0028
[120/1000][0/3]	Loss_D: 0.0683	Loss_G: 6.5552	D(x): 0.9579	D(G(z)): 0.0225 / 0.0033
[121/1000][0/3]	Loss_D: 0.0942	Loss_G: 7.3761	D(x): 0.9785	D(G(z)): 0.0658 / 0.0016
[122/1000][0/3]	Loss_D: 0.1014	Loss_G: 7.2953	D(x): 0.9680	D(G(z)): 0.0600 / 0.0018
[123/1000][0/3]	Loss_D: 0.0838	Loss_G: 7.2836	D(x): 0.9729	D(G(z)): 0.0513 / 0.0017
[124/1000][0/3]	Loss_D: 0.0960	Loss_G: 8.1859	D(x): 0.9784	D(G(z)): 0.0676 / 0.0007
[125/1000][0/3]	Loss_D: 0.0688	Loss_G: 6.8930	D(x): 0.9822	D(G(z)): 0.0472 / 0.0025
[126/1000][0/3]	Loss_D: 0.0728	Loss_G: 7.1745	D(x): 0.9831	D(G(z)): 0.0523 / 0.0017
[127/1000][0/3]	Loss_D: 0.0485	Loss_G: 7.0675	D(x): 0.9809	D(G(z)): 0.0279 / 0.0023
[128/1000][0/3]	Loss_D: 0.0673	Loss_G: 7.3122	D(x): 0.9760	D(G(z)): 0.0402 / 0.0017
[129/1000][0/3]	Loss_D: 0.0910	Loss_G: 8.3252	D(x): 0.9831	D(G(z)): 0.0670 / 0.0007
[130/1000][0/3]	Loss_D: 0.0604	Loss_G: 7.2112	D(x): 0.9882	D(G(z)): 0.0460 / 0.0018
[131/1000][0/3]	Loss_D: 0.0533	Loss_G: 7.0904	D(x): 0.9815	D(G(z)): 0.0330 / 0.0017
[132/1000][0/3]	Loss_D: 0.0406	Loss_G: 6.9188	D(x): 0.9712	D(G(z)): 0.0106 / 0.0023
[133/1000][0/3]	Loss_D: 0.0571	Loss_G: 7.1751	D(x): 0.9817	D(G(z)): 0.0369 / 0.0015
[134/1000][0/3]	Loss_D: 0.0434	Loss_G: 6.5451	D(x): 0.9728	D(G(z)): 0.0152 / 0.0031
[135/1000][0/3]	Loss_D: 0.0497	Loss_G: 6.6198	D(x): 0.9813	D(G(z)): 0.0297 / 0.0025
[136/1000][0/3]	Loss_D: 0.0461	Loss_G: 6.6059	D(x): 0.9820	D(G(z)): 0.0263 / 0.0027
[137/1000][0/3]	Loss_D: 0.0409	Loss_G: 6.2145	D(x): 0.9799	D(G(z)): 0.0200 / 0.0037
[138/1000][0/3]	Loss_D: 0.1139	Loss_G: 9.5484	D(x): 0.9942	D(G(z)): 0.0925 / 0.0003
[139/1000][0/3]	Loss_D: 0.0321	Loss_G: 6.0013	D(x): 0.9901	D(G(z)): 0.0204 / 0.0065
[140/1000][0/3]	Loss_D: 0.0401	Loss_G: 6.4814	D(x): 0.9770	D(G(z)): 0.0159 / 0.0033
[141/1000][0/3]	Loss_D: 0.0707	Loss_G: 7.1850	D(x): 0.9832	D(G(z)): 0.0497 / 0.0015
[142/1000][0/3]	Loss_D: 0.0436	Loss_G: 5.5062	D(x): 0.9852	D(G(z)): 0.0276 / 0.0071
[143/1000][0/3]	Loss_D: 0.0353	Loss_G: 5.8918	D(x): 0.9771	D(G(z)): 0.0117 / 0.0053
[144/1000][0/3]	Loss_D: 0.0436	Loss_G: 6.2275	D(x): 0.9797	D(G(z)): 0.0222 / 0.0032
[145/1000][0/3]	Loss_D: 0.0446	Loss_G: 5.8313	D(x): 0.9867	D(G(z)): 0.0301 / 0.0045
[146/1000][0/3]	Loss_D: 0.0317	Loss_G: 5.8358	D(x): 0.9864	D(G(z)): 0.0176 / 0.0060
[147/1000][0/3]	Loss_D: 0.0327	Loss_G: 6.0570	D(x): 0.9817	D(G(z)): 0.0139 / 0.0043
[148/1000][0/3]	Loss_D: 0.0351	Loss_G: 6.2104	D(x): 0.9815	D(G(z)): 0.0160 / 0.0042
[149/1000][0/3]	Loss_D: 0.0420	Loss_G: 6.5386	D(x): 0.9849	D(G(z)): 0.0258 / 0.0030
[150/1000][0/3]	Loss_D: 0.0391	Loss_G: 6.0610	D(x): 0.9849	D(G(z)): 0.0231 / 0.0045
[151/1000][0/3]	Loss_D: 0.0288	Loss_G: 6.8171	D(x): 0.9805	D(G(z)): 0.0088 / 0.0027
[152/1000][0/3]	Loss_D: 0.0293	Loss_G: 6.4423	D(x): 0.9861	D(G(z)): 0.0149 / 0.0033
[153/1000][0/3]	Loss_D: 0.0280	Loss_G: 6.5786	D(x): 0.9871	D(G(z)): 0.0147 / 0.0029
[154/1000][0/3]	Loss_D: 0.0315	Loss_G: 6.6817	D(x): 0.9820	D(G(z)): 0.0129 / 0.0030
[155/1000][0/3]	Loss_D: 0.0312	Loss_G: 6.7222	D(x): 0.9834	D(G(z)): 0.0141 / 0.0027
[156/1000][0/3]	Loss_D: 0.0280	Loss_G: 6.8154	D(x): 0.9825	D(G(z)): 0.0101 / 0.0021
[157/1000][0/3]	Loss_D: 0.0249	Loss_G: 7.1488	D(x): 0.9864	D(G(z)): 0.0109 / 0.0016
[158/1000][0/3]	Loss_D: 0.0213	Loss_G: 7.4628	D(x): 0.9872	D(G(z)): 0.0082 / 0.0013
[159/1000][0/3]	Loss_D: 0.0221	Loss_G: 7.2516	D(x): 0.9904	D(G(z)): 0.0122 / 0.0015
[160/1000][0/3]	Loss_D: 0.0242	Loss_G: 7.2339	D(x): 0.9905	D(G(z)): 0.0145 / 0.0012
[161/1000][0/3]	Loss_D: 0.0236	Loss_G: 7.4483	D(x): 0.9904	D(G(z)): 0.0136 / 0.0011
[162/1000][0/3]	Loss_D: 0.0181	Loss_G: 8.1693	D(x): 0.9915	D(G(z)): 0.0093 / 0.0006
[163/1000][0/3]	Loss_D: 0.0246	Loss_G: 8.8104	D(x): 0.9919	D(G(z)): 0.0155 / 0.0004
[164/1000][0/3]	Loss_D: 0.0199	Loss_G: 8.2475	D(x): 0.9916	D(G(z)): 0.0112 / 0.0005
[165/1000][0/3]	Loss_D: 0.0200	Loss_G: 8.1658	D(x): 0.9931	D(G(z)): 0.0129 / 0.0005
[166/1000][0/3]	Loss_D: 0.0154	Loss_G: 18.3243	D(x): 0.9852	D(G(z)): 0.0000 / 0.0000
[167/1000][0/3]	Loss_D: 0.0046	Loss_G: 8.3356	D(x): 0.9960	D(G(z)): 0.0007 / 0.0005
[168/1000][0/3]	Loss_D: 0.0064	Loss_G: 9.5826	D(x): 0.9948	D(G(z)): 0.0011 / 0.0002
[169/1000][0/3]	Loss_D: 0.0053	Loss_G: 13.6074	D(x): 0.9949	D(G(z)): 0.0002 / 0.0000
[170/1000][0/3]	Loss_D: 0.0572	Loss_G: 14.6276	D(x): 0.9967	D(G(z)): 0.0503 / 0.0000
[171/1000][0/3]	Loss_D: 0.0090	Loss_G: 8.1262	D(x): 0.9967	D(G(z)): 0.0056 / 0.0006
[172/1000][0/3]	Loss_D: 0.0098	Loss_G: 28.7002	D(x): 0.9905	D(G(z)): 0.0000 / 0.0000
[173/1000][0/3]	Loss_D: 0.0022	Loss_G: 22.2417	D(x): 0.9978	D(G(z)): 0.0000 / 0.0000
[174/1000][0/3]	Loss_D: 0.0041	Loss_G: 12.5811	D(x): 0.9989	D(G(z)): 0.0030 / 0.0019
[175/1000][0/3]	Loss_D: 0.0096	Loss_G: 9.8620	D(x): 0.9979	D(G(z)): 0.0074 / 0.0002
[176/1000][0/3]	Loss_D: 0.0104	Loss_G: 8.9986	D(x): 0.9944	D(G(z)): 0.0047 / 0.0002
[177/1000][0/3]	Loss_D: 0.0268	Loss_G: 10.9420	D(x): 0.9940	D(G(z)): 0.0204 / 0.0000
[178/1000][0/3]	Loss_D: 0.0089	Loss_G: 7.7623	D(x): 0.9964	D(G(z)): 0.0052 / 0.0010
[179/1000][0/3]	Loss_D: 0.0156	Loss_G: 14.6536	D(x): 0.9855	D(G(z)): 0.0000 / 0.0000
[180/1000][0/3]	Loss_D: 0.0254	Loss_G: 9.4860	D(x): 0.9972	D(G(z)): 0.0219 / 0.0002
[181/1000][0/3]	Loss_D: 0.0136	Loss_G: 9.0683	D(x): 0.9951	D(G(z)): 0.0086 / 0.0002
[182/1000][0/3]	Loss_D: 0.0310	Loss_G: 12.9952	D(x): 0.9941	D(G(z)): 0.0241 / 0.0000
[183/1000][0/3]	Loss_D: 0.0963	Loss_G: 28.4522	D(x): 0.9981	D(G(z)): 0.0860 / 0.0000
[184/1000][0/3]	Loss_D: 0.0856	Loss_G: 31.5499	D(x): 0.9534	D(G(z)): 0.0000 / 0.0000
[185/1000][0/3]	Loss_D: 0.0003	Loss_G: 26.2284	D(x): 0.9997	D(G(z)): 0.0000 / 0.0000
[186/1000][0/3]	Loss_D: 0.0017	Loss_G: 12.3203	D(x): 0.9996	D(G(z)): 0.0013 / 0.0009
[187/1000][0/3]	Loss_D: 0.0115	Loss_G: 14.8806	D(x): 0.9991	D(G(z)): 0.0090 / 0.0000
[188/1000][0/3]	Loss_D: 0.0087	Loss_G: 8.8438	D(x): 0.9939	D(G(z)): 0.0025 / 0.0025
[189/1000][0/3]	Loss_D: 3.0313	Loss_G: 33.9486	D(x): 0.9986	D(G(z)): 0.7790 / 0.0000
[190/1000][0/3]	Loss_D: 0.8535	Loss_G: 3.7999	D(x): 0.9030	D(G(z)): 0.3245 / 0.1188
[191/1000][0/3]	Loss_D: 0.4587	Loss_G: 7.2084	D(x): 0.9078	D(G(z)): 0.1845 / 0.0446
[192/1000][0/3]	Loss_D: 0.2150	Loss_G: 6.2640	D(x): 0.8947	D(G(z)): 0.0650 / 0.0045
[193/1000][0/3]	Loss_D: 0.1801	Loss_G: 6.4405	D(x): 0.9215	D(G(z)): 0.0732 / 0.0036
[194/1000][0/3]	Loss_D: 0.1547	Loss_G: 6.7628	D(x): 0.9456	D(G(z)): 0.0880 / 0.0021
[195/1000][0/3]	Loss_D: 1.3701	Loss_G: 10.8437	D(x): 0.4088	D(G(z)): 0.0000 / 0.0009
[196/1000][0/3]	Loss_D: 0.2831	Loss_G: 9.5192	D(x): 0.9949	D(G(z)): 0.1782 / 0.0004
[197/1000][0/3]	Loss_D: 0.4667	Loss_G: 7.6020	D(x): 0.8905	D(G(z)): 0.2232 / 0.0012
[198/1000][0/3]	Loss_D: 0.2179	Loss_G: 7.5668	D(x): 0.9654	D(G(z)): 0.1504 / 0.0020
[199/1000][0/3]	Loss_D: 0.1766	Loss_G: 5.7543	D(x): 0.9533	D(G(z)): 0.1062 / 0.0061
[200/1000][0/3]	Loss_D: 0.2038	Loss_G: 5.4651	D(x): 0.9142	D(G(z)): 0.0925 / 0.0089
[201/1000][0/3]	Loss_D: 0.1844	Loss_G: 6.0002	D(x): 0.9247	D(G(z)): 0.0856 / 0.0042
[202/1000][0/3]	Loss_D: 0.3425	Loss_G: 6.6818	D(x): 0.7778	D(G(z)): 0.0076 / 0.0039
[203/1000][0/3]	Loss_D: 0.3929	Loss_G: 5.1204	D(x): 0.7456	D(G(z)): 0.0114 / 0.0170
[204/1000][0/3]	Loss_D: 0.1750	Loss_G: 7.1580	D(x): 0.9759	D(G(z)): 0.1162 / 0.0033
[205/1000][0/3]	Loss_D: 0.3704	Loss_G: 5.3865	D(x): 0.7853	D(G(z)): 0.0069 / 0.0091
[206/1000][0/3]	Loss_D: 0.2336	Loss_G: 7.3742	D(x): 0.9369	D(G(z)): 0.1313 / 0.0018
[207/1000][0/3]	Loss_D: 0.1258	Loss_G: 7.3167	D(x): 0.9477	D(G(z)): 0.0640 / 0.0014
[208/1000][0/3]	Loss_D: 0.1072	Loss_G: 6.2609	D(x): 0.9241	D(G(z)): 0.0216 / 0.0042
[209/1000][0/3]	Loss_D: 0.1862	Loss_G: 6.4036	D(x): 0.8595	D(G(z)): 0.0114 / 0.0052
[210/1000][0/3]	Loss_D: 0.1762	Loss_G: 7.6212	D(x): 0.8884	D(G(z)): 0.0393 / 0.0080
[211/1000][0/3]	Loss_D: 0.2053	Loss_G: 7.6745	D(x): 0.9292	D(G(z)): 0.0997 / 0.0036
[212/1000][0/3]	Loss_D: 0.1820	Loss_G: 6.0361	D(x): 0.8701	D(G(z)): 0.0261 / 0.0070
[213/1000][0/3]	Loss_D: 0.1379	Loss_G: 6.7631	D(x): 0.9671	D(G(z)): 0.0772 / 0.0032
